OBJECTID,PRE_TYPE,ST_NAME,STREET_NAM,STREET_TYP,SUF_DIR,FULLNAME,LOW,HIGH,L_ADD_FROM,L_ADD_TO,R_ADD_FROM,R_ADD_TO,L_PLACE,R_PLACE,L_CITY,R_CITY,STATE,ZIP_RIGHT,ZIP_LEFT,ESN_LEFT,ESN_RIGHT,L_PRECINCT,R_PRECINCT,L_SCHOOL,R_SCHOOL,REGION,EDIT_DATE,COMMENTS,STATUS,SURFACE_TY,SPEED,NUM_LANES,ROAD_ROW_W,ALIAS,RD_NUMBER,FUNCTIONAL,LABEL_CLAS,ROADCLASS,CLASS,LINK_CLASS,LINK_NUM,SNOW_ROUTE,GARBAGE_RO,RECYCLING_,STATE_AID_,STATE_AID1,MAINT_FUND,MAINT_OWNE,MAINT_BY,MAINT_DIST,MAINT_DI_1,MAINT_TYPE,MAINT_WINT,MAINT_RURA,MAINT_LINK,HWY_CONTRO,HWY_SEGMEN,LOAD_RESTR,POSTAL_ROU,NAVSTREETS,CO_CODE,CO_NAME,PSAP_ID,ONEWAY,TF_MINUTES,FT_MINUTES,F_ZLEV,T_ZLEV,FEET,Shape_len
1,,210TH,210,AVE,N,210 AVE N,28000,28999,28000,28998,28001,28999,NORMAN CO,ULEN TWP,ULEN,ULEN,MN,56585,56585,0,62,0,265,914,914,0,20010715,ULEN RR1 56585,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,,,,,None,No,No,0,,,,ULEN RR1 56585,90339237,27,Clay,415 - RRRDC,,0,0,0,0,5276.57,5276.57692960000
2,,210TH,210,AVE,N,210 AVE N,27000,27999,27000,27998,27001,27999,NORMAN CO,ULEN TWP,TWIN VALLEY,TWIN VALLEY,MN,56584,56584,0,62,0,265,914,914,0,20010715,TWIN VALLEY RR2 56584,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,,,,,None,No,No,0,,,,TWIN VALLEY RR2 56584,90339236,27,Clay,415 - RRRDC,,0,0,0,0,5330.68,5330.68229531000
3,,210TH,210,AVE,N,210 AVE N,26000,26999,26000,26998,26001,26999,NORMAN CO,ULEN TWP,TWIN VALLEY,TWIN VALLEY,MN,56584,56584,0,62,0,265,914,914,0,20010715,TWIN VALLEY RR2 56584,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,,,,,None,No,No,0,,,,TWIN VALLEY RR2 56584,90339235,27,Clay,415 - RRRDC,,0,0,0,0,5447.83,5447.83583566000
4,,210TH,210,AVE,N,210 AVE N,25000,25999,25000,25998,25001,25999,NORMAN CO,ULEN TWP,TWIN VALLEY,TWIN VALLEY,MN,56584,56584,0,62,0,265,914,914,0,20050214,TWIN VALLEY RR2 56584,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,Ulen Township,Clay County,,,,,No,0,,,,TWIN VALLEY RR2 56584,101534115,27,Clay,415 - RRRDC,,0,0,0,0,5212.55,5212.55262610000
5,,210TH,210,AVE,N,210 AVE N,24000,24999,24000,24998,24001,24999,NORMAN CO,ULEN TWP,TWIN VALLEY,TWIN VALLEY,MN,56584,56584,0,62,0,265,914,914,0,20050214,TWIN VALLEY RR2 56584,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,Ulen Township,Clay County,,,,,No,0,,,,TWIN VALLEY RR2 56584,101534115,27,Clay,415 - RRRDC,,0,0,0,0,5308.92,5308.92758745000
6,,210TH,210,AVE,N,210 AVE N,23000,23999,23000,23998,23001,23999,NORMAN CO,ULEN TWP,ULEN,ULEN,MN,56585,56585,0,62,0,265,914,914,0,20050214,ULEN RR1 56585,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,Ulen Township,Clay County,,,,,No,0,,,,ULEN RR1 56585,90339234,27,Clay,415 - RRRDC,,0,0,0,0,5204.50,5204.50300071000
7,,210TH,210,AVE,N,210 AVE N,21000,21799,21000,21798,21001,21799,NORMAN CO,HAGEN TWP,,ULEN,MN,56585,0,0,62,0,100,914,914,0,20010715,OK,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,,,,,None,No,No,0,,,,,110757296,27,Clay,415 - RRRDC,,0,0,0,0,4180.25,4180.25089582000
8,,210TH,210,AVE,N,210 AVE N,12000,12999,12000,12998,12001,12999,NORMAN CO,FELTON TWP,,FELTON,MN,56536,0,0,73,0,65,2854,2854,0,20010715,OK,OPEN,Dirt,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,,,,,None,No,No,0,,,,,0,27,Clay,415 - RRRDC,,0,0,0,0,5262.19,5262.19371893000
9,,210TH,210,AVE,N,210 AVE N,11000,11999,11000,11998,11001,11999,NORMAN CO,FELTON TWP,,FELTON,MN,56536,0,0,73,0,65,2854,2854,0,20010715,OK,OPEN,Dirt,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,,,,,None,No,No,0,,,,,0,27,Clay,415 - RRRDC,,0,0,0,0,5129.95,5129.95991088000
10,,210TH,210,AVE,N,210 AVE N,10000,10999,10000,10998,10001,10999,NORMAN CO,VIDING TWP,BORUP,BORUP,MN,56519,56519,0,73,0,270,2854,2854,0,20010715,BORUP RR1 56519,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,,,,,None,No,No,0,,,,BORUP RR1 56519,0,27,Clay,415 - RRRDC,,0,0,0,0,5297.40,5297.40548105000
11,,210TH,210,AVE,N,210 AVE N,15000,15999,15000,15998,15001,15999,NORMAN CO,FELTON TWP,,FELTON,MN,56536,0,0,73,0,65,2854,2854,0,20050207,OK,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,Felton Township,Clay County,,A,Hourly,,No,0,,,,,0,27,Clay,415 - RRRDC,,0,0,0,0,5323.46,5323.46772449000
12,,210TH,210,AVE,N,210 AVE N,5000,5999,5000,5998,5001,5999,NORMAN CO,VIDING TWP,,GEORGETOWN,MN,56546,0,0,73,0,270,2854,2854,0,20050214,OK,OPEN,Dirt,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,Viding Township,Clay County,,J,Hourly,,No,0,,,,,0,27,Clay,415 - RRRDC,,0,0,0,0,5053.41,5053.41260103000
13,,210TH,210,AVE,N,210 AVE N,14000,14999,14000,14998,14001,14999,NORMAN CO,FELTON TWP,,FELTON,MN,56536,0,0,73,0,65,2854,2854,0,20050207,OK,OPEN,Gravel,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,Felton Township,Clay County,,A,Hourly,,No,0,,,,,110757315,27,Clay,415 - RRRDC,,0,0,0,0,5382.31,5382.31165880000
14,,210TH,210,AVE,N,210 AVE N,13000,13999,13000,13998,13001,13999,NORMAN CO,FELTON TWP,,FELTON,MN,56536,0,0,73,0,65,2854,2854,0,20010715,OK,OPEN,Dirt,0,2.0,0.00,,999,LOCAL,TOWNSHIP ROAD - UNPAVED,7,0,0,0,,,,,0,Township Road,,,,,None,No,No,0,,,,,0,27,Clay,415 - RRRDC,,0,0,0,0,5364.31,5364.31224947000
