name,population,area,continent,languages
Moldova,2617820,33846.0,Europe,Romanian
Comoros,869595,1862.0,Africa,"Arabic, French, Comorian"
Malaysia,32365998,330803.0,Asia,"English, Malay"
Algeria,44700000,2381741.0,Africa,Arabic
Slovenia,2100126,20273.0,Europe,Slovene
Guyana,786559,214969.0,South America,English
France,67391582,551695.0,Europe,French
Denmark,5831404,43094.0,Europe,Danish
Kazakhstan,18754440,2724900.0,Asia,"Kazakh, Russian"
Vanuatu,307150,12189.0,Oceania,"Bislama, English, French"
Ukraine,44134693,603500.0,Europe,Ukrainian
Liechtenstein,38137,160.0,Europe,German
Austria,8917205,83871.0,Europe,German
Kuwait,4270563,17818.0,Asia,Arabic
Andorra,77265,468.0,Europe,Catalan
Botswana,2351625,582000.0,Africa,"English, Tswana"
United Arab Emirates,9890400,83600.0,Asia,Arabic
Cameroon,26545864,475442.0,Africa,"English, French"
Russia,144104080,17098242.0,Europe,Russian
Jamaica,2961161,10991.0,North America,"English, Jamaican Patois"
Djibouti,988002,23200.0,Africa,"Arabic, French"
Kenya,53771300,580367.0,Africa,"English, Swahili"
Belize,397621,22966.0,North America,"Belizean Creole, English, Spanish"
Myanmar,54409794,676578.0,Asia,Burmese
Singapore,5685807,710.0,Asia,"English, Chinese, Malay, Tamil"
Slovakia,5458827,49037.0,Europe,Slovak
Iceland,366425,103000.0,Europe,Icelandic
Bhutan,771612,38394.0,Asia,Dzongkha
North Macedonia,2077132,25713.0,Europe,Macedonian
Guinea,13132792,245857.0,Africa,French
Malta,525285,316.0,Europe,"English, Maltese"
Afghanistan,40218234,652230.0,Asia,"Dari, Pashto, Turkmen"
United States,329484123,9372610.0,North America,English
Suriname,586634,163820.0,South America,Dutch
Vatican City,451,0.44,Europe,"Italian, Latin"
Papua New Guinea,8947027,462840.0,Oceania,"English, Hiri Motu, Tok Pisin"
Malawi,19129955,118484.0,Africa,"English, Chewa"
Hungary,9749763,93028.0,Europe,Hungarian
Cambodia,16718971,181035.0,Asia,Khmer
Ecuador,17643060,276841.0,South America,Spanish
Canada,38005238,9984670.0,North America,"English, French"
Norway,5379475,323802.0,Europe,"Norwegian Nynorsk, Norwegian Bokmål, Sami"
Mali,20250834,1240192.0,Africa,French
Samoa,198410,2842.0,Oceania,"English, Samoan"
Fiji,896444,18272.0,Oceania,"English, Fijian, Fiji Hindi"
Colombia,50882884,1141748.0,South America,Spanish
Cuba,11326616,109884.0,North America,Spanish
Thailand,69799978,513120.0,Asia,Thai
Mongolia,3278292,1564110.0,Asia,Mongolian
Guinea-Bissau,1967998,36125.0,Africa,"Portuguese, Upper Guinea Creole"
